,ID,내용,날짜,별점
16,Jungjun Kim,"강남역과 신논현역 사이에 있는 면적이 매우 큰 카페. 블루베리 스콘이 맛있고, 평일에는 그나마 자리 맡기가 수월하고 주말에는 사람 엄청 붐빕니다. 가격대는 비싼편이라 자주 가기는 힘드네요.",2년 전,4
17,SUNG HO HAN,"강남에서 꽤 규모 큰 카페. 사람도 많고, 치즈케잌도 맛있고^^",3달 전,4
18,윤세원,"알베르 자체는 2점짜리, 운영도 커피도 미숙하다. 커피는 가성비까지 심각하게 나쁘다. 단 우측에 위치한 알베르랩은 5점 만점. 알베르랩과 알베르와 간극은 심각하게 크다. 알베르랩에서는 덴마크의 유명 커피숍인 Coffee Collective의 원두를 활용하여, 깔끔하고 원두의 특성을 잘 내린 드립과 한국에 잘 커스터마이징 한 플랫화이트를 판다. 바리스타분이 친절하게 자세히 설명해 주셔서 즐거운 경험까지 할 수 있었던 것은 덤.",2년 전,3
19,Sungwon Park,커피가 맛있으며 매우 넓음. 뿐만아니라 베이킹을 하는 듯 브라우니와 치즈케이크를 주문했는데 치즈케이크가 인상적일 정도로 맛남.,3달 전,5
20,moon g,공간이 아주넓고 볕도 잘들어옴 커피맛도 갠춘,3달 전,5
21,동식,"카페의 규모가 엄청 컸으며 지하1층부터 지상 2층까지 모두 사용하고 있었습니다.
내부에는 클래식 스쿠터부터 여러 고풍스러운 소품들이 있었고 분위기가 생각보다 좋았습니다.
넓은 층고의 인테리어는 안그래도 넓은 내부를 더 넓게 보여줬습니다.
지하에는 샹들리에도 있었는데 호텔 연회장을 연상시켰습니다.
그런데 지하에서는 약간 지하 특유의 쾌쾌한 냄새는 나더라구요.
커피 맛도 나쁘지 않았고 전체적으로 힙한 느낌의 카페였습니다.
노래 소리가 너무 둥둥 거려서 오래 있기는 조금 거슬렸던게 아쉽기는 하네요.",1년 전,4
22,Stacy lullaby (Sonnet),"아!!! 테라스 때문에 방문하는데, 갈때마다 여자알바생이고 남자알바생이고 말귀못알아듣고 불친절해요 !",3주 전,1
23,킴킴,지하가 좀 꿉꿉하고 아늑한 맛보다 시장바닥 느낌을 받았네요,2년 전,2
24,Jun H,"넓직한 인테리어,
1층은 좀 더웠고 산만한 기분
브라우니는 JMT
괜찮은 카페다.",1년 전,4
25,한동현,서울 강남에 위치한 카페. 유명하고 인테리어가 이뻐서 사람들이 많이 찾는다,2년 전,5
26,Soyeon Yang,분위기가 좋고 커피 맛이 좋습니다. 하지만 카푸치노에 초코파우더가 아닌 시나몬 파우더를 쓰는 것이 약간 실망스러웟습니다 ㅠㅠ 얼그레이파운드케익은 얼그레이 향이 진하게 나서 좋았습니다. 파운드케익은 여러 종류가 있고 얼그레이파운드케익만 그런지는 잘 모르겠습니다만 촉촉하기보다는 포크로 누르면 바스라지는 가루에 가까운 식감입니다.,1년 전,4
27,김창균,넓고 쾌적한 까페다. 큰 사이즈 음료를 팔지 않아 살짝 모자란 감이 있었다. 2시 이후 손님이 확 늘었지만 자리가 모자랄 정도는 아니었다. 사이드쪽 테이블에 콘센트를 준비해두었지만 전기가 들어오지 않는 구역이 많이 있었다,2년 전,4
28,헤헤빈,9시까지만 아니었음 더 좋았다...,4달 전,4
29,핸둥하이,넓고 깨끗하고 이뻐요!! 브라우니랑 티라미수 사진은 좀 별로 맛없어보이게 나왔지만 전반적으로 다 맛있었음!!,1년 전,5
30,Son,"공간이 넓고 사람이 없는 시간대에 방문하면 좋습니다. 커피의 차별화를 두는 것 같은데, 맛은 잘 모르겠습니다. 그러나 주변의 큰 카페들중에는 낫습니다",8달 전,4
31,아조씨,카페 크기에 비해 화장실 크기가 너무 작음 흡연구역 없는듯,5달 전,4
32,juckwoo (람군),"지하부터 2층까지 층고가 높고 아늑한 인테리어가 인상적이고, 커피 퀼리티가 좋습니다. 특히 1층 오른쪽 구석에 있는 알베르 랩에서 원두 특징을 자세히 들으면서 취향에 맞는 드립 커피를 마실 수 있어 좋아요. 이 근방 카페 중 가장 추천하고 싶은 곳!",1년 전,5
33,바이킹스플래이스 (Jay to the Kay),분의기좋고 가격 적당함.. 종업원들도 예의있음,2년 전,4
34,김소연,굉장히 큰 규모. 트인 공간의 랩실같은 느낌. 지하부터 이층까지 많은 사람들의 빙문을 수용하는 강남의 유명(하다는) 커피숍이다. 브라우니는 포크로 먹는 비스킷느낌이었지만 아메리카노는 쏘쏘했다(그렇지만 친구는 좋아했다.) 분위기로는 굳. 자리도 자유로워 전체적으로 커피숍의 기본원칙인 '자유로운 수다'를 잘 지키고있는듯 하다. 또 이쪽으로 오면 홀린듯 자리잡고 앉아있을것 같다.,2년 전,4
35,오월십이일,굉장히 큰 규모의 카페지만 내가 앉을 곳은 없다. 사람이 항상 많다. 분위기는 시원시원하니 괜찮다. 강남에서 이정도 규모의 카페의 커피값이 저렴할리 만무하다.,2년 전,5
36,이수인,가격이 조금 비싼 편이긴 하나 카페 자리도 많고 건물도 이쁘다,2달 전,5
37,임우혁,"지하,1층,2층 으로 진짜 커요 음료도 맛있고 디저트도 맛있어요. 가격은 많이 비싼편이지만 좋아요. 행사하기도 좋을정도로 크고 실제로 행사도 많이 하네요.",1년 전,4
38,잠못좐노,커피는 괜찮지만 디저트류는 별로에요..마스카포네 크림이 너무너무 달아요. 티라미수가 핑거케잌에 에스프레소 부어서 마스카포네크림치즈 올려먹는것만 먹어봐서 비스킷으로 된 티라미수는 익숙치않아 그런지 입맛에 맞지않았어요. 블루베리 화이트초코 스콘은 블루베리는 느껴졌지만 초코맛은 나지않았고 블루베리가 씹히지 않는 부분은 덜익은 밀가루 맛이났어요! 아메리카노와 카페라떼는 무난한 맛이었어요~ 풍경은 시원하고 좋으네요.,1년 전,2
39,Jenny Lee,넓고 다른테이블과 간격이 멀어서 대화하기 좋음. 모든 음료를 큰 테이크아웃 잔에 줌. 라떼는 연하지만 맛잇엇고 밀크티가 아주 맛잇음. 블루베리 음료도 맛잇엇음.  시나몬롤은 무화과 맛이 나고 호두가 많이 들어잇어서 고소했음. 사진찍기 좋음.,1년 전,5
