,ID,내용,날짜,별점
13,찰스스,"여친느님의 이끌림에 따라 방문했는데요
평소 아침에 시리얼 빵을 먹는걸 좋아하는지라
음식 나오자마자 그 퀄리이에 감동했습니다
특히 버터종류 선택하는거와 스크램블은 입에 넣자마자마치 여행을 가서 조식을 먹는 기분을 연상케 합니다
순간 신났었네요
근처에 브런치 할 일 있으면 추천드립니다~!!",1년 전,4
14,SUK YOUNG LEE,차갖고 가기 불편해요..턱에 차세우다가 휠 긁어먹음..ㅠㅠ,2달 전,3
15,짱 쎈오야붕님,비싸구영 비싼만큼 맛있지는 않아요 와플팬있으면 집에서 뚝딱 만들정도 ㅋㅋ...직원들이 좀 틱틱거리고 음식만들때 마스크도 턱에 걸치고 말해서 좀..비위생적인거같구 수저 떨어뜨린걸 그대로 주워서 담더라구용;;;;웁스에용,9달 전,1
16,먹방여신수민,"자이언트, 팬케잌, 스테이크 다 맛있다!!!
아침부터 달달함으로 충전하기 딱좋음!!",10달 전,5
17,Chris Silhwan Jin,맛이 나쁘지 않아요. 조리시간이 꽤 오래걸려서 별하나 깎습니다.,2년 전,3
18,Mile S,약간 불친절.  그래도 맛은 있다,3달 전,5
19,SOOYOUNG JEON,"테이블 정리한 손으로 계산하고 그 손으로 빨대 만지고, 음료주고.. 오랜만에 와서 위생에 놀라고 갑니다.",10달 전,1
20,송시은,음료수가 10800 원 실화? 흠...맛은 있음,5달 전,3
21,JAMES PARK,뭐하나 제대로 쿠킹된게 없다 어릴땐 괜찮게 먹었던 기억이 있어서 몇년만에 찾았는데 가격만 나가고 별로였다,6달 전,1
22,Giovanni Bosco Kim,양많고 맛 괘안고... 좀 비싼건 단점이네요,8달 전,4
23,True Wind,맛은 괜찬습니다. 프랜차이즈고 워낙 여러번 가본곳이라 맛은 비슷. 다만 직원들은 불친절 틱틱거리는듯요.,8달 전,2
24,정창호,아침 일찍부터 영업함.,3달 전,5
25,4 MUSIC STUDIO,"맛은 괜찮습니다. 국내에서 아메리칸 breakfast 를 막을수 있는 몇 안되는 식당인것 같아요. 팬케이크, 프렌치토스트, 다 괜찮은데... 비비큐 필리치즈스테이크 라는걸 시켰는데 그냥 bbq버그가 나와서 좀 실망... 필리치즈스테이크 라는 말을 빼야 할듯 합니다. 주차는 발레파킹 이 가능하고 2시간에 3,000원 입니다.",2년 전,4
26,하얀곰,분위기는 좀 어두침침한데 팬케잌은 맛있네. 가끔 또 가고 싶다.,1년 전,4
27,Mia san mia,사람이 많으나 회전율이 좋아 웨이팅은 없음. 발렛가능. 음식도 빨리 나오는 편.,3년 전,4
28,Blythe B,"가성비 떨어짐,  퀄은 괜찮음, 메뉴가 다 비쌈
오늘 종국이형도 옴,  그 다아는 김종국
형님이 그 시간에 와서 밥먹고가서 깜짝 놀랬음요
밥먹을때 다른사람들이 귀찮게 할까봐 시간대는 비밀
다음부터는 천천히 드시고 가시길...",9달 전,4
29,Ali Alzaabi,"버터 핑거 팬케이크는 LA의 The Griddle Cafe를 떠올리게합니다. 놀라운 아침 식사와 브런치 옵션을 제공합니다. 나는 그들의 정원 오믈렛과 그들의 빠른 바닐라 와플을 좋아했다

Butterfinger Pancakes reminds me of LA’s The Griddle Cafe. They serve amazing breakfast and brunch options. I loved their Garden Omelet, and their Quick Vanilla Waffle",1년 전,4
30,Beom Seok Moon,"화장실에 비누가 없는게 아쉽지만, 음식점은 좋습니다. 맛도 나쁘지 않구요.",11달 전,4
31,박현미,"비싸고 맛은 그럭저럭
커피잔이 크고 리필되는 것은 좋았습니다",2년 전,3
32,김요호홋,집에서도 만들 수 있는 음식...가격이 읭?스러움,1년 전,1
33,이용선,"맛이가ᆢ아쉽, 근데 커피는 구수해요",9달 전,3
34,sang guen kim,그냥 그레요 특별한맛은없어요,10달 전,3
35,sunil c2,즐거운 요리 감자는 조금 더 익혀주시면 굿 ~,2년 전,3
36,Paul Kim,옛날 같지 않네요. 해쉬브라운도 매쉬드 포테이토로 바뀌고. 소세지도 넘 드라이 하고.,10달 전,3
37,IN SUB JUNG,팬케이크 전문점다운 다양한 음식과 브러치를 즐기기 좋은 분위기,1년 전,4
38,방은비,"감자 왜  메시드랑 토막낸거밖에없냐고요..
해시브라운이랑 통으로튀긴거 왜없냐고요
그리고 햄버거너무맛없어요 차돌박이햄버건지뭔지
고기진짜질겨요 호.
직접시식좀 해보시길..",1년 전,4
39,홍원기,사람들이 줄 서는데는 이유가 있음 :),1년 전,4
40,Jayo Cha,음식의 질에 비해 음식값이 매우 비싼편입니다. 팬케이크나 프렌치토스트 2장에 이 값은 비싸지요. 커피 맛도 별로입니다. 주방에서 음식 조리 시에 나오는 연기가 매장 안에 진동을 합니다. 환기가 잘 안 됩니다. 발렛비는 3천원이네요.,1년 전,2
41,경주최씨,정말좋아 여기 정말좋아 생각보다 사람도 북적이지않고 좋았네요! 직원들도 친절하구요! 그래도 여기서 적당히 드시고 맞은편 타이거슈가 가서 밀크티 후식으로 드세요.,1년 전,5
42,Dowoo Ku,"다양한 펜케익과 sidedish를 즐길 수 있어 좋아요..또한 아침 일찍 개점을 해서 더욱 좋다.
미국식의 펜케익을 먹고 싶다면 여기서 향수를 느낄 수 있다..",1년 전,5
43,Bumjean Sohn,가끔 아이들이랑 미국식 조식 생각날 때 들르는 곳. 음식 생각하고 미국 가격 생각하면 참 제 정신에 들르게 힘듬. 양도 예전보다 많이 줄어든 듯 함.,1년 전,3
44,su jin kim,기름진거 땡길때 와요! 맥앤치즈에 들어간 마카로니가 좀 흐물흐물 했는데 다음번에는 덜 삶아달라고 할까봐요ㅎㅎㅎㅎ,2년 전,5
45,Sunjong Lee,"간단한 미국식으로 먹기괜찮음.음료가 12,000원,커피6.600원으로 비싸서 음식값=음료값 /맛과 분위기 가격을 생각할때 재방문은 안할듯하네요",1년 전,3
46,Yunju Lee,"팬케이크와 프렌치 토스트가 맛있어요
망고 베리 스무디에서 독특한 맛이 나고 좋았어요
같이 나오는 소세지와 햄도 맛있고 좋았어요
다만 조명이 어둡고 좀 시끄러워서 소리가 잘 안 들려요",1년 전,4
47,키라KIRA,"비싸긴한데 진짜 맛있어용ㅋㅋ
발렛도되궁ㅎ",3년 전,5
48,최재희,"아침7시부터 새벽2시까지. 브런치 시간은 대기 엄청 나지만. 맛집중 맛집.
하지만 비추메뉴는 개인적으로 맥엔치즈랑 루이지아나 검보. 짜기만 하고 실제적인 맛이 안나 비추 합니다.
전 그냔 스플릿 디씨졈 플레이트랑 왕새우들어간 샐러드 강추.",2년 전,4
49,sang hyun kim kim,맛있어요,1달 전,5
50,EUNJI JEON,야밤에 즐기는 브런치 🙆🏻‍♀️❤️,2년 전,4
51,정하윤,다 맜있어서 좋았어요!특히 프렌치토스트가 너무 맜있더라고요. 적극 추천드립니다!,1년 전,4
52,JI HYEON YUN,달달달달달한 와플과 달달달한 음료수!!!!!!!!!!!! 가격이 비싼거빼곤 달달최고,3년 전,4
53,엘리,양많고 맛있어요~,2년 전,5
54,nanjoo K,강남역 다른 지점 가본 좋았던 기억으로 갔는데  맛. 청결도. 분위기 영 별로였어요 주인없고 알바만으로 움직이는...다만 위치땜에 인기있는??,2년 전,2
55,Andrew LEE,브런치 식당의 대명사로 꼽힌곳이지만 사장바뀌고 나서 음식맛은 점점 떨어지고 직원들도 불친절.,1년 전,1
56,정재용,맛은 여전히 좋아요. 서비스는 여전히 느리고... 서브하는 웨이터 수가 더 줄어든것 같아요. 최저인금 여파인가요?,2년 전,4
57,HYEJIN KWON,미국스타일 올데이브런치. 맛있어요. 어줍잖은 브런치까페의 비싸고 맛은 그저그런곳보다는 아는맛이 무섭다잖아요.ㅎ안전한 맛.,2년 전,4
58,zhonghao R,"맛-4(팬케이크,감자구이튀김등 맛있음, 오렌지에이드 높은 점수 부여)
직원-3(친절하기는 하지만 바빠서 놓치는부분 간혹)
금액-3(정성스럽고맛스러운음식대)
주차-3(대리주차)
화장실 - 3(여남분리, 깨끗은 하나 관리 필요)",2년 전,4
59,김병모,맛나요,3달 전,4
60,Jack Lee,"아직도 한번씩 로컬의 브런치가
그리우면 생각나는곳, 너무 오래되어
낡음이 너무 티나고 서비스는 크게
기대할수 없지만 늦은시간에 가도
항상 열려 있는(24시까지 가능)
팬케이크 매장 발렛도 가능합니다.",2년 전,3
61,김정,사람이 너무 많이만 그래도,2년 전,4
62,나랑,칼로리 폭탄 땡길 때 만족. 가성비는 별루지만,1년 전,4
63,송진우,브런치모임하기 좋은곳!!,1년 전,5
64,Yoon Moon,"저 교포미국인입니다. 그 미국 맛 조금 나긴해요. 맛은 나쁘지않지만, 가격은 너무 비싸요. 혼자나 친구들이랑 즐기기에 부담 스럽지만, 데이트 하기에 괜찮아요.",2년 전,4
65,김혜원,리얼 미국식당같은 분위기와 음식을 먹을수있다. 그런데 그뿐인듯...맛도 그저그렇고 식당 청결도도 그저 그렇다,2년 전,3
66,Taiyoung An,팬케익과 와퍼세트는 괜찮지만 전체적으로 가성비는 떨어집니다. 비쌉니다,2년 전,3
67,Minji Son,가끔 건강이란걸 저멀리 밀어두고... 맛있고 기름지고 푸짐한 뭔가로 위를 가득채우면 행복한 기분이 될 것이라는 믿음이 생길 때가 있죠. 그 믿음이 이루어지는 곳입니다.,8년 전,3
68,34 12,비주얼은 깡패. 뭐든지 잘먹는 내 입맛기준도 낮은편. 근데 맛없었음.,2년 전,2
69,SangHoon Moon,"분당 정자점.
일단 매장이 추움. 실내온도가 관리가 안되어 있음. 대부분의 성인은 모두 겉옷을 입고 식사하고 있음.
음식이 금방 식을 수 있다는 건 생각도 안하는 모양.

둘째. 점원이 메뉴에 대해 전혀 숙지가 안되어 있음.
음료를 물어보는데 시럽이 들어가는지 마는지 설탕이 들어가는지 모름. 문제는. 모를 수 있는데 그럼 물어보고 오겠다고 해야 되는데 자리에서 얼버무리며 버팀. 물어보고 와달라고 해야 물어보고 옴.

음식은 프랜차이즈다 보니 평균수준이나 햄버거 패티는 솔직히 쓴 맛이 더 강했음. 베이컨도 고기 맛은 거의 안났고.

가격 대비 경험은 최악 수준.",3년 전,1
70,dong jun Lee,정통 미국스타일 음식으로는 강추.,1년 전,4
71,이병준,"너무 맛있어요~
다들 아시겠지만 전형적인 미국식 식사입니다",2년 전,4
72,alice park,팬케이크와  소세지가 맛있음   별거 아닌것 같지만  별맛임    스무디는 비싸지만  맛있음    메뉴 두개 시키고  스무디랑  커피 시켰는데  6만원  나옴,1년 전,4
73,나길웅,생각보다 건강한맛 American Style Restaurant,2년 전,5
74,h JEON,"브러치로 가끔  이용, 브렉퍼스트 양이 많은편,
주방이 오픈되어있어 먹고나오면 옷에 튀김냄새가 하루종일 옷에 배있음",1년 전,3
75,Jun Junbuggy,어메리칸 스타일 팬케이크 디쉬를 즐기기 좋은 장소,2년 전,5
76,황빛나,철저하게 본인 입맛. 맛있는 펜케익.,2년 전,4
77,구덕길,맛있는 브런치를 먹고싶다면 강추,1년 전,5
78,H S,발렛파킹 3000원~ 타이거쉬림프 샐러드 맛있네여,2년 전,4
79,김필승,"맛있음
스페셜토스트 셋을 추천드림",2년 전,5
80,Se Hoon Park,비싸고 불친절... 맛은 나쁘지 않음.,2년 전,3
81,金文美,"호두시나몬팬케익이랑 계란후라이궁합 최고~^^
감자튀김도 특이하게 나와서 식감도 좋았음★",2년 전,4
82,Mina Lee,프렌치토스트가 생각날때 들리는곳,2년 전,5
83,JW Hur,"한번쯤 가기좋은곳
생각보다 싸지는 않음
맛은 전반적으로 무난했음",5년 전,3
84,김경주,"- 가격 자제좀.
- 오렌지에이드 정말 화난다.
- 햄 맛있다.
- 검보 맛있다.
- 맛있다기보단 자꾸 생각난다.
- 에이드 가격도 자꾸 생각난다.
- 가격이 비싸서 추천하진 못하겠다.
- 서울가격이 그렇지.
- 라고 생각하는에 오랜지 에이드는 좀 아니지.
- 음료는 자제하도록 하자.
- 맛집보단 무난한 식사.
- 비싼 식사?",3년 전,3
85,라단조(d-moll),"요즘 유행하는 집들같이 fancy 한 음식이 나오는 것은 아니지만, 오랜시간 동안 동일한 퀄리티의 음식을 내어주는 집.",2년 전,5
86,Andrew Kim,"뜬금없이 늦은 시간에 저녁을 먹자는 지인 덕에 방문하게 된 곳입니다. 새벽 3시까지 영업한다고 합니다. 좀 독특하긴 하지만, 맛은 특별한게 없습니다. 생긴 모양, 재료.. 딱 예상되는 그맛입니다.",4년 전,3
87,황성희,우리나라 같지않은 분위기가 참 신선한 충격이었어요!,2년 전,5
88,허효성,정통 아메리칸 블랙퍼스트를 즐기기 딱 좋음.,2년 전,4
89,Chaeho Moon,맛은 있어요~ 분위기보다 의외로 비싸지만요,2년 전,4
90,su do,생각보다 부실함  한국에서 먹는 이국적인 아침식사,3년 전,3
91,손선경,비싸지만 맛있어요,1년 전,4
92,YongJin Yoon,솔직히 비싸기만하고 뭐가 맛있는지 모르겠음...,7년 전,2
93,il woong kwak,팬 케익 스택 훌륭합니다.,2년 전,5
94,shin kim,한 플레이트 양이 혼자 먹기는 많습니다,2년 전,5
95,Bora Kang,"가격이 좀 비싼편이지만 진짜 아메리칸 스타일! 팬케이크와 스크램블드 에그, 소시지, 햄. 대체로 다 휼륭한데 맥앤치즈는 별로였음. 1400원을 내면 무한리필 가능한 Unsweeted pickle도 꼭 시켜서 드세요.",4년 전,4
96,Marino Lee,버터핑거는 버터핑거... 그 이상도 이하도 아님 ㅎㅎ,2년 전,4
97,Sungik Lee,"기름냄새가 너무 나서 머리가 아파요. 주방ㅎ한기거 필요할 듯해요
맛은 미국식 아침식사...",3년 전,3
98,Lauren Kim,기름지고 맛없음. 줄이 서 있기 때문에 따라 줄 서는 곳인 듯,10년 전,2
99,Hyunchol Song,가성비 그닥 여기 가느니 동네 브런치집가겠습니다,1년 전,3
100,Sanghun Ryu,맛있다.But 기다려야한다,2년 전,3
101,마이구미,클래식 ㅎㅎ 언제 먹어도 맛나요,2년 전,5
102,ST Kim,"맛있고, 키큰 여자분 친절하심",2년 전,4
103,Dave Jin,비싼데 양도 적다. 어려운 영어만 잔뜩 써놓고 ㅎㅎ,5년 전,3
104,Songjun Kim,비싸고 ㅠ,10달 전,2
105,Name,맛없기 힘든 메뉴지만..,1년 전,1
106,리샤인,살짝 칙칙한 매장 분위기 조금 느끼하네요,1년 전,3
107,박보성,늘 맛남,1년 전,5
108,도막사라묵,브런치로 아직까지 여기를 따라올곳은 내 기준에는 없음,2년 전,4
109,Sienna Hwang,널널하네,1년 전,4
110,유현수,엄청 유명한데 일반적인 곳. 달달한 팬 케이크가 가장 기억에 남음.,5년 전,3
111,Henry So,버터핑거 언제나 브런치 갑ㅋㅋ,2년 전,5
112,Dongwook Suh,이제는 조금. 올드,2년 전,4
113,유승민,맛있음. 근데헤비함,2년 전,4
114,최경철,너무 맛있고 아주 훌륭하고,2년 전,5
115,오기하,항상 사람이 많아요,2년 전,4
116,잠만보,미국식 올데이 브런치,1년 전,4
117,ki young song,펜케익 8천원 시대!,2년 전,2
118,Anna Lee,맛있다 버터핑거 ㅋㅋㅋ,1년 전,4
119,JangWook Lee,쏘쏘,11달 전,3
120,윤성욱,가끔 느끼하고싶을때.,2년 전,4
121,최하늘,맛나요,1년 전,4
122,리헬레나,맛잇어여,1년 전,5
123,박진훈,굿,11달 전,5
124,T.J. C,가격 빼고 무난한 식당,2년 전,3
125,박만희,팬케익 땅길때 가는곳 ㅋㅋ,2년 전,4
126,황정현,"맛있지만, 조금 비쌈",1년 전,4
127,애쩡,맛집이라며?,2년 전,5
128,이ᄒᄋᄑᄀ대민,비쌈,2년 전,5
129,Yoon Cheol Chang,티본점심 굳,2년 전,3
130,고유진,브런치의 교과서,2년 전,5
131,정재효,맛있음,2년 전,4
132,주기준,매우 만족~~,3년 전,5
133,캐인트,ㅇㅇ,2년 전,4
134,gi di,언제나 좋은 곳.,3년 전,4
135,남준용 (댄디보이),가끔 느끼하고 싶음 가우,2년 전,3
136,J L,맛과 양에 비해 비쌈,3년 전,3
137,dmitri kim,처음에 생겼을때는 음식 양이나 퀄리티 서비스 어느하나 빠지지않았지만 점차 양이줄고 퀄리티가 나빠지고 식탁이 낡고 서비스가 불친절하고 물티슈하나 달라하기 눈치보일정도.,4년 전,2
138,Y.P. H,문득 미국식 아침식사가 그리울때~~,3년 전,4
139,System Sotheb,혼자먹기에는 부담스러운 분위기 입니다.,4년 전,3
140,김쎄바스챤,버터버터합니다.,4년 전,5
141,김윤일,음식에어 비닐 나왔는데도 사과 한번 안하는 클라스ㄷㄷㄷ,4년 전,1
142,Steve Kim,브런치나 야식용,5년 전,4
143,Brooky Tae,기다리는것도 싫지만 양이 애매하다.,5년 전,3
144,취블남,연인이 좋아할만한 추천 브런치 코스,4년 전,4
145,김유석,브런치로 좋음,5년 전,4
146,cheezee치이즈네 집사와 대두냥이들,생각하는 그맛!!,5년 전,3
147,이정환,사람이 드글드글한데 여성취향,5년 전,4
148,Kilチャン,"(Google 번역 제공) 소문 보면 아침밥 먹고있는 사람이 많은데 10 년 정도 전에 재일 3 명이 있고, 1 명은 미국에 유학하고 있었기 때문에, 밤 식사 후 입가심으로 친구와 갔다. 팬케이크의 여러 종류가 많이 오른 세트 같은 빵빵 물은 것이지만, 아메리칸 틱에서 맛있었 기억. 명동 롯데 L7도 생긴 것 같기 때문에 이번에도 같은 팬케이크 여러 종류의 다른 모드! 소스 라든지도 많이 선택할 수있어 좋았다 기억이있다 ~ 강남에는 밤놀이에 가야겠다 네요!

(원문)
口コミ見ると、朝ごはん食べてる人が多いんだけど、１０年くらい前に、在日３人でいて、１人は、アメリカにも留学してたから、夜食事してから、口直しに、友達と行きました。パンケーキの色んな種類が沢山のったセットみたいなモリモリの頼んだんだけど、アメリカンチックで、美味しかったの覚えてる。明洞のロッテＬ７にも出来たみたいだから、今度も、同じパンケーキの色んな種類のたのもー！　ソースとかも、沢山選べて良かった記憶がある〜　江南には、夜遊びに行かなきゃね！",1달 전,5
149,Cindy O,"(Google 번역 제공) 여기에서 맛있는 팬케이크와 쉐이크를 먹어 봤습니다. 하지만 이번에는 에그 베네딕트를 먹어보기로했습니다. 가장 먼저 보이는 것은 접시 옆에있는 작은 털입니다. 나는 그것을 벗고 음식에 없었기 때문에 무시했습니다. ""잉글리쉬 머핀""과 함께 제공되어야하는데 그냥 평범한 지루한 흰빵이었습니다. 내가 먹을 때 생각할 수있는 것은 음식이 얼마나 불쾌 할 정도로 풍미가 있는지입니다. 나는 내 맛이 좋지만 음식의 1/3을 먹은 후 아팠다. 배가 돌아가고 있었다. 그리고 설상가상으로 나는 플라스틱을 먹고 씹는 자신을 발견했습니다! 그 이후로는 확실히 계속 먹을 수 없었습니다. 잠실의 작은 지하 위치에서 일어난 일입니다. 내가 쓴 최악의 20 달러 !!

(원문)
I’ve tried delicious pancakes and shakes from here. But this time I decided to try the eggs Benedict. First thing I see is a small hair on the side of the plate. I took it off and ignored it since it wasn’t on the food. It’s supposed to come with ”English muffins”, but it was just regular boring white bread. As I’m eating all I can think about is how obnoxiously savory the food is. I like my flavors but damn I felt sick after eating one third of the food. My stomach was turning. Then to make matters worse I found myself eating and chewing plastic! I was definitely not able to keep eating after that. This happened at the small underground location in jamsil. Worst 20 bucks I have spent!!",9달 전,1
150,james fraser,"(Google 번역 제공) 훌륭한 팬케이크와 좋은 음식.
나쁜 커피 (맛과 가용성) 때문에 별 3 개 밖에 없었고 웨이터는 나쁜 하루를 보냈습니다.
그러나 맛있는 팬케이크를 놓친다면 방문할만한 가치가 있습니다.

(원문)
Great pancakes and good food.
Only 3 stars because of bad coffee(taste and availability) and our waiter was having a bad day.
But worth a visit if you miss tastey pancakes.",2년 전,3
151,Jina Kim,"(Google 번역 제공) 나는 브런치를 위해 여러 번 여기에왔다. (실제로 일찍 열렸다.)하지만 나는 평범한 요리가 얼마나 더 실망하는지 점점 더 실망했다. 국제 관중을 당연히 끌어들이지만, 20 달러는? 이 프렌치 토스트가 그것을 자르지 않고 있습니다. 나는 감자 쐐기가 가장 기억에 남는 것 같아요. 고마워, 다음에!

(원문)
I've come here several times for brunch (it's open really early) but I get more and more disappointed by how mediocre the dishes are. Definitely draws in the international crowd, but for 20 bucks? This French toast is not cutting it. I think the potato wedges were the most memorable. Thank you, next!",2년 전,2
152,はるちゃん,"(Google 번역 제공) 아침 밥을 먹으러 갔다. 이른 시간부터하고 있기 때문에 편리합니다.
일본어를 할 수있는 점원은하지 않기 때문에 한국어 나 영어로.
한국의 연예인이 많은 다리를 들고 가게 인 것 같습니다. 굉장히 양이 많은 팬케이크는 무성한 맛있었습니다!
역에서도 가깝고 다른 메뉴도 먹고 싶기 때문에 또 가고 싶습니다.

(원문)
朝ごはんを食べに行きました。早い時間からやっているので便利です。
日本語が話せる店員はいないので韓国語か英語で。
韓国の芸能人が多く足を運ぶお店らしいです。凄く量が多くてパンケーキはフワフワで美味しかったです！
駅からも近いし他のメニューも食べたいのでまた行きたいと思います。",1년 전,5
153,William Kim,"(Google 번역 제공) 추천. 브런치는 최고 수준입니다 😋🥞

(원문)
Highly recommended. Brunches are top notch 😋🥞",5달 전,5
154,Jake Martinez,"(Google 번역 제공) 내가 서울에있을 때 항상 필수품. 마을 최고의 미국 스타일의 아침 식사 장소!

(원문)
Always a staple when I'm in Seoul. By far the best American style breakfast place in town!",1년 전,4
155,Barry Francis,"(Google 번역 제공) 이 곳은 빠른 서비스로 재미있는 환경에서 훌륭한 음식을 만듭니다. 아침 식사를 위해 집에서 맛을 원하거나 주말에 좋은 브런치 장소를 원하는 미국인의 경우 팬케이크가 자리 잡고 나머지 음식은 실망하지 않습니다. 25,000 원으로 거의 모든 아침 식사를 한 접시에 담을 수 있습니다. 일반 버터보다 허니 바닐라 버터도 나쁘지 않습니다. 메뉴의 뒷 페이지에서 제공하는 미친 사막 팬케이크를 먹으려면 어느 시점에서 두 번째 방문해야합니다 ... 심지어 그것을 나누려고 시도하십시오!

(원문)
This place makes some great food in a fun environment with fast service. For any American that finds themself wanting a taste of home for breakfast, or just a good weekend brunch spot, the pancakes are spot on and the rest of the food doesn't disappoint.I recommend the Split Decision platter. For 25,000 Won it's pretty much every breakfast food you could want on a single plate. The honey vanilla butter over regular butter isn't a bad move either.Will have to make a second visit at some point to try the insane desert pancakes they have on offer on the back page of the menu... was far too full to even attempt to split it!",1년 전,5
156,Miroslav Tadic,"(Google 번역 제공) 아마 내가 한국에서 먹은 최고의 팬케이크 일 것입니다!

(원문)
Probably the best pancakes I've had in Korea!",6달 전,5
157,こばはな,"(Google 번역 제공) 볼륨 만점으로 맛있었습니다 ♪
제공 빨랐다!

(원문)
ボリューム満点で美味しかった♪
提供も早かった！",1년 전,4
158,free shavacado,"(Google 번역 제공) 팬케이크는 매우 부드럽고 깨끗합니다. 시도해보고 싶다면 ""버터 맛이 나지 않는 버터""로 오리지널 제품을 구입하십시오.

(원문)
THE PANCAKES ARE SO SOFT AND FLUFFY. If you wanna try it, get the original one with the ""butter that doesn't taste like butter"" It's the best, guaranteed",1년 전,5
159,水口彰子,"(Google 번역 제공) 볼륨 만점에 가게 분위기 나 메뉴가 아메리칸 스타일이지만 한국 오리지날 팬케이크 🥞라는 점이 매력적 😍❣️ 이른바 '왕도 팬케이크'를 좋아하는 분들에게 정말 추천합니다! ️

(원문)
ボリューム満点な上、お店の雰囲気やメニューがアメリカン・スタイルですが韓国オリジナルのパンケーキ🥞という点が魅力的😍❣️ いわゆる「王道のパンケーキ」が好きな方には、本当にお薦めします‼️",1년 전,4
160,Dean Barlow,"(Google 번역 제공) 남편과 나는 우리가 일찍 일어나서 강남의 대부분의 장소가 오전 10 시까 지 열리지 않기 때문에 어느 날 아침 방문을 지불하기로 결정했습니다. 우리는 계란과 소시지도 원했고 따뜻한 아침 식사 메뉴에 거의 모든 것이 들어있는 ""Spilt Decision Plate""를 주문했습니다. 두 사람에게 딱 맞았습니다. 적절한 금액과 가격도 꽤 좋습니다. 대부분의 음료 (뜨거운 음식과 차가운 음식)에는 무료 리필이 제공되므로 쉽게 공유 할 수 있습니다. 리필을하지 않으면 돈으로 큰 가치가 있다고 생각하지 않았습니다. 미국식 아침 식사를 찾고 있다면 이것이 나쁘지는 않지만 물론 당신이 찾을 수있는 것과 비교하면 아무것도 아닙니다. 서쪽.

(원문)
My husband and I decided to pay this a visit one morning because we were up early and most places in Gangnam don't open till 10am. We also wanted some egg and sausage.We ordered the ""Spilt Decision Plate"" which came with pretty much everything they have on their hot breakfast menu. It was perfect for two people, just the right amount and the price is pretty good as well.Most of the drinks (hot and cold) comes with free refills so you could easily share this. I didn't think that was great value for money if you didn't get any refills.If you're looking for a decent American style breakfast this isn't bad but of course it's nothing compared to what you'll find in the west.",1년 전,5
161,Kyle Arendse,"(Google 번역 제공) 와플은 정말 맛있습니다. 시도해 볼 가치가 있습니다.

(원문)
The waffles are really tasty. It worth a try.",1년 전,5
