,이름,아이디,리뷰,날짜,별점
32,알베르,Kim Jiho,"탁트인 천장에 널찍한 테이블이 있어서 혼자 작업하러 갈 때 가는 나만 아는 공간.
다이닝 코드에 올라와 있으니 나만 아는 공간은 아닌 듯.
커피나 차도 맛있어서 조금 값은 나가지만 그래도 좋음.

아쉬운건 주말에는 와이파이가 안되는 게 좀 아쉬운데 공간이 좋으니 그건 눈 감아줄게요.",2016년 7월 23일,5
33,알베르,이루,기본 커피도 맛있었지만 커피랩의 필터 커피가 무척 좋았습니다. 바리스타 분과 커피얘기를 나눌 수 있었던 좋은 시간이었습니다.,2019년 5월 29일,4
34,알베르,Minjeong Jeong,,2017년 12월 28일,3
35,알베르,yulia,강남에서 젤 큰 카페 아닐까 싶어요! 맛은 그냥 그렇고 가격은 강남 중심이라서 조금 비싼감은 있어요,2019년 8월 29일,3
36,알베르,Ivan,매장이 넓고 사람이 북적북적한 강남대로와 조금 떨어져 있어서 좋습니다. 커피는 조금 진한 편이고 베이커리도 만족스러워요. 노트북 들고 작업하러 찾아오시는 분들이 꽤 많습니다 ㅎㅎ,2016년 8월 1일,4
37,알베르,뇸뇸뇸,강남역에서 분위기와 인테리어로 서울근교 이쁜 카페에 와 있는듯한 느낌을 받을수있는곳!,2018년 6월 12일,3
38,알베르,busted708,,2017년 4월 30일,3
39,알베르,이민열,맛나요,2018년 4월 9일,2
40,알베르,싸펑피펑,콘이 먹음직해보여서 무화과콘을 먹었는데 그닥이네요.. 아메리카노랑 청포도주스는 맛있었습니다.,2017년 3월 19일,3
41,알베르,호자이,,2017년 4월 9일,4
